Country,2018,2019,2020,2021,2022,2023,2024,2025,Latitude,Longitude
Argentina,521.1,670.45,826.38,955.4,1309.64,1587.02,1843.99,2144.91,-34.6037,-58.3816
Armenia,202.02,253.38,310.81,371.62,538.72,686.67,778.88,888.89,40.1792,44.5086
Australia,2070.52,2447.45,2776.96,2928.27,3667.92,4088.59,4457.25,4947.67,-33.8688,151.2093
Austria,900.23,1179.98,1531.39,1744.7,2149.34,2702.41,2981.6,3389.07,48.2082,16.3738
Azerbaijan,176.88,228.4,269.04,315.89,489.17,546.6,602.11,688.45,40.3856,49.8671
Bahrain,838.51,1041.67,1239.52,1417.65,1947.98,2293.79,2467.03,2689.84,26.0667,50.5577
Bangladesh,50.36,70.74,96.39,110.17,150.49,176.73,197.21,228.03,23.8103,90.4125
Belarus,176.41,246.27,309.09,367.35,512.93,612.13,679.0,766.96,53.9045,27.5615
Belgium,1116.42,1419.83,1741.63,2012.84,2768.57,3367.88,3937.5,4599.5,50.8503,4.3517
Belize,837.84,1315.79,1538.46,1500.0,2195.12,2261.9,3116.28,3500.0,17.2505,-88.7589
Benin,37.01,48.47,64.39,75.2,95.85,119.59,138.04,157.46,6.4969,2.6289
Bhutan,584.42,857.14,1077.92,1389.61,1884.62,2166.67,2569.62,2949.37,27.5142,89.6408
Bolivia,87.48,114.93,147.08,172.44,230.83,273.29,321.37,396.69,-16.5898,-68.1506
Bosnia and Herzegovina,253.56,327.59,427.75,489.8,671.55,873.16,1023.74,1208.96,43.8564,18.4131
Botswana,181.42,234.78,302.13,393.31,539.09,631.58,733.07,847.66,-24.6282,25.9165
Brazil,323.15,440.95,576.45,705.33,1019.24,1292.56,1560.35,1859.88,-15.8267,-47.8822
Brunei Darussalam,2116.28,2697.67,3090.91,3568.18,4863.64,5400.0,6111.11,6755.56,4.883,114.9388
Bulgaria,237.41,332.85,462.56,583.09,806.31,1037.94,1241.17,1469.67,42.6977,23.3219
Burkina Faso,28.86,37.81,50.16,56.52,72.49,87.86,101.84,116.79,12.3656,-1.5197
Burundi,19.83,26.19,32.61,37.53,50.21,59.48,67.04,80.76,-3.3731,29.9189
Cambodia,59.04,85.0,105.52,127.89,174.27,215.36,252.14,294.81,11.5564,104.9282
Cameroon,40.19,52.71,68.5,77.13,97.53,119.73,136.11,155.2,3.8667,11.5167
Canada,1956.66,2353.03,2709.74,2912.92,3719.1,4244.08,4726.26,5349.54,45.4215,-75.6972
Chad,28.61,37.25,47.33,54.31,71.25,85.12,96.19,106.97,12.1348,15.0557
Chile,556.43,686.39,812.27,906.88,1212.26,1449.41,1684.24,1983.68,-33.4489,-70.6693
China,1455.79,1933.56,2424.6,2800.82,3781.14,4448.38,4982.94,5544.77,39.9042,116.4074
Costa Rica,279.92,384.76,484.05,537.89,704.92,955.2,1110.92,1299.31,9.9281,-84.0907
Croatia,430.41,612.99,751.96,886.84,1257.29,1652.41,1929.92,2247.28,45.815,15.9819
Cuba,173.19,254.8,354.08,167.7,235.5,288.17,326.62,377.55,23.1291,-82.3794
